Word,Count,Percentage of total,Cumulative percentage of total
δέ,16315,5.33,5.33
ὁ,9853,3.22,8.55
καί,7599,2.48,11.03
τε,6191,2.02,13.05
ἐγώ,4601,1.5,14.56
οὐ,4034,1.32,15.87
εἰμί,3276,1.07,16.94
σύ,3121,1.02,17.96
ἐν,2875,0.94,18.9
ὅς,2865,0.94,19.84
ὡς,2759,0.9,20.74
γάρ,2630,0.86,21.6
μέν,2609,0.85,22.45
ἄν,2196,0.72,23.17
τις,2161,0.71,23.87
ἀλλά,2096,0.68,24.56
ὅδε,2031,0.66,25.22
ἄρα,1990,0.65,25.87
ἐπί,1782,0.58,26.45
πᾶς,1639,0.54,26.99
ἀνήρ,1589,0.52,27.51
αὐτός,1579,0.52,28.02
γε,1525,0.5,28.52
ἐκ,1440,0.47,28.99
ἔχω,1361,0.44,29.44
θεός,1343,0.44,29.88
εἰ,1311,0.43,30.3
μή,1270,0.41,30.72
εἰς,1260,0.41,31.13
δή,1244,0.41,31.54
πολύς,1193,0.39,31.93
νῦν,1125,0.37,32.29
μέγας,1119,0.37,32.66
ἤ,1112,0.36,33.02
ναῦς,1104,0.36,33.38
Ζεύς,1097,0.36,33.74
κατά,1093,0.36,34.1
ἕ,1082,0.35,34.45
ἄλλος,1055,0.34,34.8
οὗτος,1024,0.33,35.13
φίλος,956,0.31,35.44
κακός,951,0.31,35.75
φημί,947,0.31,36.06
ἔρχομαι,944,0.31,36.37
ἀτάρ,927,0.3,36.67
χείρ,920,0.3,36.98
ἐπεί,901,0.29,37.27
θυμός,879,0.29,37.56
πρός,855,0.28,37.84
Ἀχαιός,778,0.25,38.09
ἀπό,743,0.24,38.33
ὑπό,741,0.24,38.57
ἐμός,730,0.24,38.81
πατήρ,715,0.23,39.05
εἶπον,713,0.23,39.28
Τρώς,688,0.22,39.5
μιν,679,0.22,39.73
ὦ,679,0.22,39.95
Ὀδυσσεύς,677,0.22,40.17
παρά,676,0.22,40.39
υἱός,668,0.22,40.61
G,666,0.22,40.83
εἶμι,659,0.22,41.04
μάλα,645,0.21,41.25
εἶδον,618,0.2,41.45
τίς,604,0.2,41.65
πέρ,604,0.2,41.85
δίδωμι,600,0.2,42.04
παῖς,597,0.2,42.24
ἠδέ,593,0.19,42.43
ἔνθα,590,0.19,42.63
φέρω,575,0.19,42.81
ἔπειτα,559,0.18,43.0
ἦ,559,0.18,43.18
ἔπος,553,0.18,43.36
ἵστημι,546,0.18,43.54
βάλλω,543,0.18,43.72
ὅτε,541,0.18,43.89
οἶδα,538,0.18,44.07
γίγνομαι,531,0.17,44.24
φρήν,529,0.17,44.41
ἵππος,518,0.17,44.58
τίθημι,516,0.17,44.75
αἱρέω,511,0.17,44.92
περί,502,0.16,45.08
μετά,497,0.16,45.24
ποτέ,494,0.16,45.41
πόλις,489,0.16,45.57
βαίνω,484,0.16,45.72
Ἕκτωρ,481,0.16,45.88
γυνή,481,0.16,46.04
λέγω,481,0.16,46.2
καλός,480,0.16,46.35
ἀμφί,479,0.16,46.51
ἔτι,465,0.15,46.66
ἐθέλω,457,0.15,46.81
ἑταῖρος,446,0.15,46.96
σός,443,0.14,47.1
δῖος,430,0.14,47.24
αὖτε,424,0.14,47.38
ἔργον,413,0.13,47.51
γαῖα,411,0.13,47.65
ἄγω,407,0.13,47.78
θνήσκω,402,0.13,47.91
Ἀχιλλεύς,390,0.13,48.04
πούς,385,0.13,48.17
τότε,383,0.13,48.29
τοι,383,0.13,48.42
δῶμα,380,0.12,48.54
εὖ,379,0.12,48.66
ὄφρα,376,0.12,48.79
μήτηρ,376,0.12,48.91
σύν,375,0.12,49.03
ὅσος,372,0.12,49.15
σφεῖς,371,0.12,49.27
ἱκνέομαι,360,0.12,49.39
λαός,356,0.12,49.51
ἑός,356,0.12,49.63
δόρυ,355,0.12,49.74
δόμος,351,0.11,49.86
οὐδέ,350,0.11,49.97
ἄναξ,346,0.11,50.08
πόλεμος,346,0.11,50.2
ἀεί,345,0.11,50.31
μῦθος,343,0.11,50.42
διά,336,0.11,50.53
Ἀθήνη,328,0.11,50.64
ἄνθρωπος,326,0.11,50.74
ὁράω,318,0.1,50.85
ἀκούω,318,0.1,50.95
πρῶτος,312,0.1,51.05
ἐκεῖνος,308,0.1,51.15
πείθω,305,0.1,51.25
ἀθάνατος,305,0.1,51.35
μέγαρον,301,0.1,51.45
ἔγχος,297,0.1,51.55
ἅμα,296,0.1,51.65
πρίν,292,0.1,51.74
οἷος,290,0.09,51.84
πίπτω,285,0.09,51.93
ξένος,285,0.09,52.02
ἄριστος,284,0.09,52.11
βροτός,282,0.09,52.21
ὄρνυμι,279,0.09,52.3
φαίνω,275,0.09,52.39
μάχομαι,271,0.09,52.48
Ἀργεῖος,267,0.09,52.56
ὄλλυμι,261,0.09,52.65
ἀνά,260,0.08,52.73
τίκτω,260,0.08,52.82
Αἴας,260,0.08,52.9
ὧδε,260,0.08,52.99
οὔτε,259,0.08,53.07
οὐδείς,257,0.08,53.16
κλύω,254,0.08,53.24
λόγος,253,0.08,53.32
θεά,252,0.08,53.41
ἦμαρ,252,0.08,53.49
χθών,250,0.08,53.57
ὅστις,249,0.08,53.65
λαμβάνω,249,0.08,53.73
αὖ,249,0.08,53.81
ἕκαστος,249,0.08,53.89
δεινός,248,0.08,53.98
μένω,247,0.08,54.06
ἤδη,246,0.08,54.14
Ἄρης,245,0.08,54.22
Ἀτρείδης,241,0.08,54.3
Τηλέμαχος,241,0.08,54.37
οὖν,240,0.08,54.45
κεῖμαι,240,0.08,54.53
οἶκος,239,0.08,54.61
κτείνω,239,0.08,54.69
γέρων,238,0.08,54.76
πῦρ,238,0.08,54.84
ἵημι,235,0.08,54.92
πρόσφημι,235,0.08,55.0
ἕπομαι,233,0.08,55.07
φεύγω,230,0.08,55.15
λείπω,228,0.07,55.22
τεῦχος,228,0.07,55.3
μένος,226,0.07,55.37
χαλκός,226,0.07,55.44
μνηστήρ,224,0.07,55.52
κελεύω,223,0.07,55.59
στῆθος,221,0.07,55.66
φράζω,220,0.07,55.73
βοῦς,220,0.07,55.81
ἵνα,219,0.07,55.88
ἀλλήλων,219,0.07,55.95
μέλας,216,0.07,56.02
γῆ,216,0.07,56.09
τεύχω,215,0.07,56.16
πού,215,0.07,56.23
νύξ,214,0.07,56.3
ἐσθλός,212,0.07,56.37
τελέω,211,0.07,56.44
ἐλαύνω,210,0.07,56.51
καλέω,209,0.07,56.58
αὐτίκα,209,0.07,56.64
φρονέω,207,0.07,56.71
μακρός,206,0.07,56.78
κρατερός,205,0.07,56.85
ἔοικα,205,0.07,56.91
προσεῖπον,204,0.07,56.98
μέσος,204,0.07,57.05
δύο,203,0.07,57.11
δίκη,203,0.07,57.18
Ἀπόλλων,202,0.07,57.24
Ἀγαμέμνων,201,0.07,57.31
Μενέλαος,201,0.07,57.38
φωνέω,201,0.07,57.44
ἐάω,201,0.07,57.51
ἄγε,200,0.07,57.57
προσαυδάω,199,0.07,57.64
αἷμα,198,0.06,57.7
πρότερος,198,0.06,57.77
ταχύς,198,0.06,57.83
ἀμείβω,197,0.06,57.9
πῶς,197,0.06,57.96
οὕτως,194,0.06,58.02
μάχη,193,0.06,58.09
ὅπως,192,0.06,58.15
πάρειμι,192,0.06,58.21
πάσχω,190,0.06,58.27
εὔχομαι,188,0.06,58.34
εὐρύς,188,0.06,58.4
δαμάζω,186,0.06,58.46
νέος,186,0.06,58.52
τέκνον,186,0.06,58.58
βία,186,0.06,58.64
αὖθις,185,0.06,58.7
λύω,182,0.06,58.76
ἀγαθός,180,0.06,58.82
πόντος,180,0.06,58.88
ὅτι,179,0.06,58.94
θάνατος,179,0.06,58.99
ἄρχω,179,0.06,59.05
ὦμος,178,0.06,59.11
χαίρω,178,0.06,59.17
κόρη,177,0.06,59.23
χέω,177,0.06,59.28
χρύσεος,176,0.06,59.34
ἐρῶ,176,0.06,59.4
γιγνώσκω,175,0.06,59.46
θοός,174,0.06,59.51
πέμπω,171,0.06,59.57
βασιλεύς,170,0.06,59.62
στρατός,170,0.06,59.68
Δαναοί,170,0.06,59.74
ὀξύς,170,0.06,59.79
χρή,170,0.06,59.85
μοῖρα,169,0.06,59.9
ἐρύω,168,0.05,59.96
πέλω,168,0.05,60.01
ἅπας,168,0.05,60.07
δαίμων,166,0.05,60.12
ἄνωγα,165,0.05,60.17
δοκέω,165,0.05,60.23
Ἥρα,163,0.05,60.28
ἀγορεύω,163,0.05,60.34
ἴσος,163,0.05,60.39
πόνος,163,0.05,60.44
Πρίαμος,161,0.05,60.49
οἶος,161,0.05,60.55
εἷς,160,0.05,60.6
αἶψα,160,0.05,60.65
χρόνος,160,0.05,60.7
νοέω,159,0.05,60.76
τοιοῦτος,159,0.05,60.81
ἧμαι,158,0.05,60.86
ὀφθαλμός,158,0.05,60.91
δῶρον,157,0.05,60.96
κεφαλή,156,0.05,61.01
δύναμαι,155,0.05,61.06
νόος,153,0.05,61.11
θάλασσα,152,0.05,61.16
πω,151,0.05,61.21
τάχα,151,0.05,61.26
πρόσθεν,151,0.05,61.31
μέλλω,151,0.05,61.36
χρώς,151,0.05,61.41
οἴομαι,150,0.05,61.46
ναίω,150,0.05,61.51
ἄστυ,150,0.05,61.56
γένος,148,0.05,61.61
κύων,147,0.05,61.65
ὀτρύνω,147,0.05,61.7
δύω,147,0.05,61.75
μιμνήσκω,146,0.05,61.8
ποιέω,146,0.05,61.84
μόνος,146,0.05,61.89
δείδω,145,0.05,61.94
οὐρανός,145,0.05,61.99
Πάτροκλος,145,0.05,62.03
θυγάτηρ,144,0.05,62.08
εἰσοράω,144,0.05,62.13
ἰώ,144,0.05,62.18
τῷ,143,0.05,62.22
ποταμός,143,0.05,62.27
ἐνθάδε,141,0.05,62.32
τόσος,140,0.05,62.36
πτερόεις,140,0.05,62.41
ἀμφότερος,140,0.05,62.45
δράω,140,0.05,62.5
ἅλς,139,0.05,62.54
πράσσω,139,0.05,62.59
ὕπνος,139,0.05,62.63
αὐδάω,138,0.05,62.68
εὑρίσκω,138,0.05,62.72
Ὄλυμπος,137,0.04,62.77
φώς,137,0.04,62.81
ὁδός,136,0.04,62.86
κλισία,135,0.04,62.9
ἀσπίς,135,0.04,62.95
Ἴλιος,134,0.04,62.99
τυγχάνω,134,0.04,63.03
ὠκύς,133,0.04,63.08
ὑπέρ,133,0.04,63.12
πάρος,133,0.04,63.16
ἥρως,132,0.04,63.21
τρέφω,132,0.04,63.25
πατρίς,132,0.04,63.29
πεδίον,132,0.04,63.34
θνητός,131,0.04,63.38
γόνυ,131,0.04,63.42
τεῖχος,131,0.04,63.47
ἆρα,131,0.04,63.51
δέχομαι,129,0.04,63.55
οἴχομαι,129,0.04,63.59
οἶνος,129,0.04,63.63
κῦμα,129,0.04,63.68
μέμαα,129,0.04,63.72
μηδέ,129,0.04,63.76
βέλος,128,0.04,63.8
ἀμύμων,128,0.04,63.84
αἰνός,128,0.04,63.89
τοιόσδε,128,0.04,63.93
τόξον,127,0.04,63.97
ἠώς,127,0.04,64.01
παύω,126,0.04,64.05
ἱκάνω,126,0.04,64.09
λανθάνω,126,0.04,64.13
ἄλγος,125,0.04,64.18
ψυχή,125,0.04,64.22
δάκρυον,125,0.04,64.26
ὄρος,125,0.04,64.3
ὥστε,125,0.04,64.34
ἀχεύω,124,0.04,64.38
ἄνεμος,124,0.04,64.42
κάρα,124,0.04,64.46
οὐκέτι,124,0.04,64.5
ἡμέτερος,123,0.04,64.54
ἄψ,123,0.04,64.58
φιλέω,123,0.04,64.62
Νέστωρ,123,0.04,64.66
μήν,122,0.04,64.7
δῆμος,122,0.04,64.74
φύω,122,0.04,64.78
βουλή,121,0.04,64.82
μήτε,121,0.04,64.86
ὕδωρ,121,0.04,64.9
πρό,120,0.04,64.94
δεῦρο,120,0.04,64.98
καλύπτω,119,0.04,65.02
πύλη,119,0.04,65.06
κίω,117,0.04,65.09
ἤτοι,117,0.04,65.13
τλάω,117,0.04,65.17
μίγνυμι,117,0.04,65.21
ἄλοχος,116,0.04,65.25
τοῖος,116,0.04,65.28
δέω,116,0.04,65.32
ἀπαμείβομαι,115,0.04,65.36
χάρις,115,0.04,65.4
σώζω,114,0.04,65.43
πυνθάνομαι,114,0.04,65.47
πόσις,114,0.04,65.51
ἀμύνω,113,0.04,65.55
φόβος,113,0.04,65.58
ἠέλιος,112,0.04,65.62
πῆμα,112,0.04,65.66
δίφρος,112,0.04,65.69
ἄτη,111,0.04,65.73
ἱερός,110,0.04,65.76
κλαίω,110,0.04,65.8
παρίστημι,110,0.04,65.84
κέλομαι,109,0.04,65.87
πάλιν,109,0.04,65.91
εὐνή,109,0.04,65.94
τέρπω,109,0.04,65.98
σάκος,109,0.04,66.01
ῥέζω,108,0.04,66.05
φιλότης,108,0.04,66.09
τάλας,108,0.04,66.12
νιν,108,0.04,66.16
ἀπόλλυμι,107,0.03,66.19
βοή,107,0.03,66.23
ὅμιλος,107,0.03,66.26
ἦτορ,106,0.03,66.3
κῆρυξ,106,0.03,66.33
φόνος,106,0.03,66.36
φαεινός,106,0.03,66.4
ὄμμα,105,0.03,66.43
νεκρός,105,0.03,66.47
μανθάνω,105,0.03,66.5
μάλιστα,104,0.03,66.54
ἕνεκα,104,0.03,66.57
Ἰδομενεύς,104,0.03,66.6
καρδία,104,0.03,66.64
αὐτοῦ,104,0.03,66.67
μέλω,104,0.03,66.71
κλυτός,104,0.03,66.74
ἕζομαι,103,0.03,66.77
βλώσκω,103,0.03,66.81
πως,102,0.03,66.84
ὁπότε,102,0.03,66.87
πλείων,102,0.03,66.91
κῆρ,101,0.03,66.94
ἄχος,101,0.03,66.97
πίνω,101,0.03,67.01
ᾍδης,101,0.03,67.04
δίκαιος,101,0.03,67.07
τιμή,100,0.03,67.1
πυκνός,100,0.03,67.14
ὅθι,100,0.03,67.17
ἀλκή,99,0.03,67.2
οὕνεκα,98,0.03,67.23
πόρω,98,0.03,67.27
πότνια,98,0.03,67.3
ζάω,97,0.03,67.33
μᾶλλον,97,0.03,67.36
θεῖος,97,0.03,67.39
δε,97,0.03,67.43
ἕτερος,96,0.03,67.46
ἀνίστημι,95,0.03,67.49
ἀντίος,95,0.03,67.52
χάλκεος,95,0.03,67.55
Τροία,93,0.03,67.58
γλαυκῶπις,93,0.03,67.61
φάος,93,0.03,67.64
μῆλον,93,0.03,67.67
νέκυς,91,0.03,67.7
ἠμί,91,0.03,67.73
γόος,91,0.03,67.76
ἥκω,91,0.03,67.79
κήρ,90,0.03,67.82
κῦδος,90,0.03,67.85
ἅρμα,90,0.03,67.88
ὄλεθρος,90,0.03,67.91
ἐχθρός,90,0.03,67.94
δῆτα,90,0.03,67.97
πειράω,89,0.03,68.0
λευκός,89,0.03,68.02
Αἰνείας,89,0.03,68.05
ἀνάσσω,88,0.03,68.08
βαρύς,88,0.03,68.11
τρέπω,88,0.03,68.14
Ποσειδεών,88,0.03,68.17
ποῖος,88,0.03,68.2
πέτρα,88,0.03,68.23
κατακτείνω,88,0.03,68.26
νέομαι,87,0.03,68.28
ἀραρίσκω,87,0.03,68.31
Κρονίων,87,0.03,68.34
κρατέω,86,0.03,68.37
θέω,86,0.03,68.4
ἄκρος,86,0.03,68.42
βίος,86,0.03,68.45
μεγάθυμος,85,0.03,68.48
νικάω,85,0.03,68.51
νέμω,85,0.03,68.54
αἴρω,85,0.03,68.56
γάμος,85,0.03,68.59
τύχη,85,0.03,68.62
ἔρις,84,0.03,68.65
χολόω,84,0.03,68.67
ἀγορά,84,0.03,68.7
ξίφος,84,0.03,68.73
κράτος,84,0.03,68.76
λυγρός,84,0.03,68.78
πέπνυμαι,84,0.03,68.81
μηδείς,84,0.03,68.84
δαίς,83,0.03,68.87
νῆσος,83,0.03,68.89
τέλος,83,0.03,68.92
καίω,82,0.03,68.95
ποιμήν,82,0.03,68.97
Διομήδης,82,0.03,69.0
σχεδόν,82,0.03,69.03
λίσσομαι,81,0.03,69.05
ὦκα,81,0.03,69.08
ἀργαλέος,81,0.03,69.11
θάλαμος,81,0.03,69.13
ἐάν,80,0.03,69.16
Ἥφαιστος,80,0.03,69.19
θείνω,80,0.03,69.21
νήπιος,80,0.03,69.24
γλαφυρός,80,0.03,69.26
Πηνελόπεια,80,0.03,69.29
ἀγλαός,79,0.03,69.32
λέχος,79,0.03,69.34
ἄμφω,79,0.03,69.37
πολύμητις,79,0.03,69.39
πάτηρ,79,0.03,69.42
χαλεπός,79,0.03,69.44
ἀίσσω,79,0.03,69.47
φυλάσσω,79,0.03,69.5
θύρα,79,0.03,69.52
πάλαι,79,0.03,69.55
φαίδιμος,79,0.03,69.57
μόρος,79,0.03,69.6
ἔνδον,79,0.03,69.63
χόλος,78,0.03,69.65
ἕλκω,78,0.03,69.68
εἷμα,78,0.03,69.7
ἔρδω,77,0.03,69.73
ἀείρω,77,0.03,69.75
ἐπιβαίνω,77,0.03,69.78
ἀνάγκη,77,0.03,69.8
ἀφικνέομαι,77,0.03,69.83
Φοῖβος,76,0.02,69.85
κεῖνος,76,0.02,69.88
γείνομαι,76,0.02,69.9
ἀνέχω,76,0.02,69.93
θρόνος,76,0.02,69.95
σεύω,76,0.02,69.98
κονία,76,0.02,70.0
ὄχος,76,0.02,70.03
θεράπων,75,0.02,70.05
χρυσός,75,0.02,70.08
Μηριόνης,75,0.02,70.1
λέων,75,0.02,70.12
ἔλπω,75,0.02,70.15
πατρῷος,75,0.02,70.17
τίνω,74,0.02,70.2
ὄπισθεν,74,0.02,70.22
μάρναμαι,74,0.02,70.25
κρίνω,74,0.02,70.27
στόμα,74,0.02,70.29
ἡδύς,74,0.02,70.32
κλέος,74,0.02,70.34
κρείων,73,0.02,70.37
ἠέ,73,0.02,70.39
ἵζω,73,0.02,70.41
τίω,73,0.02,70.44
μεγαλήτωρ,73,0.02,70.46
ἀμφίπολος,73,0.02,70.49
κασίγνητος,73,0.02,70.51
Ὀλύμπιος,72,0.02,70.53
οἴκαδε,72,0.02,70.56
ἀμείνων,72,0.02,70.58
φθίω,72,0.02,70.6
γενεά,72,0.02,70.63
μίμνω,72,0.02,70.65
ὁρμάω,72,0.02,70.67
δόλος,72,0.02,70.7
φίλτατος,72,0.02,70.72
γλῶσσα,71,0.02,70.74
ἐνέπω,71,0.02,70.77
πύργος,71,0.02,70.79
δείκνυμι,71,0.02,70.81
κοῖλος,70,0.02,70.84
εἴσω,70,0.02,70.86
Παλλάς,70,0.02,70.88
αἰγίοχος,70,0.02,70.91
βουλεύω,70,0.02,70.93
πλήσσω,70,0.02,70.95
ἐπίσταμαι,70,0.02,70.97
Ἀντίλοχος,70,0.02,71.0
θέμις,69,0.02,71.02
μεθίημι,69,0.02,71.04
Πηλεύς,69,0.02,71.06
ἄλλοτε,69,0.02,71.09
εὕδω,69,0.02,71.11
νόστος,69,0.02,71.13
σῆμα,69,0.02,71.15
σθένος,69,0.02,71.18
ὀπάζω,69,0.02,71.2
δύστηνος,69,0.02,71.22
τιμάω,68,0.02,71.24
μάκαρ,68,0.02,71.27
φοβέω,68,0.02,71.29
ὀρθός,68,0.02,71.31
Ἄργος,67,0.02,71.33
μυθέομαι,67,0.02,71.35
ἀεικής,67,0.02,71.38
αὔτως,67,0.02,71.4
τέκος,67,0.02,71.42
κέλευθος,67,0.02,71.44
ἄγγελος,67,0.02,71.46
ἐπέρχομαι,67,0.02,71.49
δαίφρων,67,0.02,71.51
τέμνω,67,0.02,71.53
ὑψηλός,67,0.02,71.55
εἴδω,67,0.02,71.57
αἰδοῖος,67,0.02,71.6
ῥήγνυμι,67,0.02,71.62
κτῆμα,67,0.02,71.64
ἄγχι,67,0.02,71.66
παλαιός,67,0.02,71.68
καταλέγω,67,0.02,71.7
Ὠκεανός,66,0.02,71.73
τόφρα,66,0.02,71.75
χιτών,66,0.02,71.77
Ἑλένη,66,0.02,71.79
Ἀφροδίτη,66,0.02,71.81
σῖτος,66,0.02,71.83
ἀντί,66,0.02,71.86
ἡμέρα,66,0.02,71.88
ἑαυτοῦ,66,0.02,71.9
φεῦ,66,0.02,71.92
ἀγείρω,65,0.02,71.94
μετεῖπον,65,0.02,71.96
πολεμίζω,65,0.02,71.98
ῥέω,65,0.02,72.01
Ἰθάκη,65,0.02,72.03
ἕννυμι,65,0.02,72.05
νίκη,65,0.02,72.07
λαγχάνω,65,0.02,72.09
τάφος,65,0.02,72.11
δὲ,65,0.02,72.13
δέμας,64,0.02,72.15
ἐπιτέλλω,64,0.02,72.17
ἀέκων,64,0.02,72.2
ἐγείρω,64,0.02,72.22
εἶδος,64,0.02,72.24
νεῖκος,64,0.02,72.26
Τυδείδης,64,0.02,72.28
ποῦ,64,0.02,72.3
Ὀρέστης,64,0.02,72.32
αἰδέομαι,63,0.02,72.34
κιχάνω,63,0.02,72.36
μάντις,63,0.02,72.38
βούλομαι,63,0.02,72.4
οὔτι,63,0.02,72.42
αὖθι,63,0.02,72.44
Κρονίδης,63,0.02,72.46
δάιος,63,0.02,72.49
ἐρύκω,63,0.02,72.51
ἔνθεν,63,0.02,72.53
ἔδω,63,0.02,72.55
ἡγέομαι,62,0.02,72.57
ἥλιος,62,0.02,72.59
πέτομαι,62,0.02,72.61
βοάω,62,0.02,72.63
αὔω,62,0.02,72.65
ζωός,62,0.02,72.67
ὄις,62,0.02,72.69
ἔμπεδος,62,0.02,72.71
ἄπειμι,62,0.02,72.73
νόμος,62,0.02,72.75
ὀιστός,61,0.02,72.77
γέρας,61,0.02,72.79
προίημι,61,0.02,72.81
πόποι,61,0.02,72.83
ὄρνις,61,0.02,72.85
αἰπύς,61,0.02,72.87
ἄρουρα,61,0.02,72.89
περίφρων,61,0.02,72.91
δμωή,61,0.02,72.93
ἴσχω,60,0.02,72.95
ὀλοός,60,0.02,72.97
ὀνομάζω,60,0.02,72.99
δεύτερος,60,0.02,73.01
γυῖον,60,0.02,73.03
κόρυς,60,0.02,73.05
οὐτάω,60,0.02,73.07
Φαίαξ,60,0.02,73.09
ὅρκος,59,0.02,73.11
φορέω,59,0.02,73.12
ὑσμίνη,59,0.02,73.14
στυγερός,59,0.02,73.16
τοκεύς,59,0.02,73.18
ἰθύς,59,0.02,73.2
Ἀλκίνοος,59,0.02,73.22
ἐλπίς,59,0.02,73.24
νόσος,58,0.02,73.26
ὁμοῦ,58,0.02,73.28
δαίνυμι,58,0.02,73.3
ὀδύρομαι,58,0.02,73.32
ὕλη,58,0.02,73.33
κυρέω,58,0.02,73.35
ἆθλος,58,0.02,73.37
κρύπτω,58,0.02,73.39
ὕστερος,57,0.02,73.41
εἴτε,57,0.02,73.43
τρίς,57,0.02,73.45
εἴδομαι,57,0.02,73.47
ἀντίον,57,0.02,73.48
εὖτε,57,0.02,73.5
βωμός,57,0.02,73.52
κομίζω,57,0.02,73.54
ἐγγύς,57,0.02,73.56
βίοτος,57,0.02,73.58
χώρα,57,0.02,73.6
τεός,56,0.02,73.61
ἀντίθεος,56,0.02,73.63
ὀπίσω,56,0.02,73.65
νόσφι,56,0.02,73.67
δέπας,56,0.02,73.69
τανύω,56,0.02,73.71
ἀνίημι,56,0.02,73.72
προπάροιθε,56,0.02,73.74
πιστός,56,0.02,73.76
ἐφέπω,56,0.02,73.78
περάω,56,0.02,73.8
ἠμέν,56,0.02,73.82
ἄλκιμος,56,0.02,73.83
Ἀντίνοος,56,0.02,73.85
οἴμοι,56,0.02,73.87
πίων,55,0.02,73.89
Πηλείδης,55,0.02,73.91
κάμνω,55,0.02,73.92
γλυκύς,55,0.02,73.94
δεσμός,55,0.02,73.96
πελάζω,55,0.02,73.98
Ἑρμῆς,55,0.02,74.0
ὀρίνω,55,0.02,74.01
ἄγριος,55,0.02,74.03
νύμφη,55,0.02,74.05
πικρός,55,0.02,74.07
νέφος,55,0.02,74.09
ἁμαρτάνω,55,0.02,74.1
ἐποτρύνω,55,0.02,74.12
οὐδός,55,0.02,74.14
γνώμη,55,0.02,74.16
οἰωνός,54,0.02,74.18
χώομαι,54,0.02,74.19
ἰός,54,0.02,74.21
πρόφρων,54,0.02,74.23
κῆδος,54,0.02,74.25
Κρόνος,54,0.02,74.26
αἰθήρ,54,0.02,74.28
πλεῖστος,54,0.02,74.3
κλίνω,54,0.02,74.32
ἐμβάλλω,54,0.02,74.33
ὗς,54,0.02,74.35
τύπτω,54,0.02,74.37
Ἐρινύς,54,0.02,74.39
κέρδος,54,0.02,74.41
ὅταν,54,0.02,74.42
ἄγαν,54,0.02,74.44
ἀείδω,53,0.02,74.46
γῆρας,53,0.02,74.48
ὠθέω,53,0.02,74.49
διδάσκω,53,0.02,74.51
αὐχήν,53,0.02,74.53
συβώτης,53,0.02,74.54
αἴξ,52,0.02,74.56
δέρκομαι,52,0.02,74.58
ὄσσε,52,0.02,74.6
ἔρομαι,52,0.02,74.61
περικαλλής,52,0.02,74.63
ἱππόδαμος,52,0.02,74.65
αἰχμή,52,0.02,74.66
λούω,52,0.02,74.68
ἀγών,52,0.02,74.7
ἴφθιμος,51,0.02,74.71
ἀπάνευθε,51,0.02,74.73
γεραιός,51,0.02,74.75
ἐφίημι,51,0.02,74.76
πίμπλημι,51,0.02,74.78
πένθος,51,0.02,74.8
πολιός,51,0.02,74.81
πάμπαν,51,0.02,74.83
στείχω,51,0.02,74.85
δηρός,51,0.02,74.86
ἀκτή,51,0.02,74.88
ὥρα,51,0.02,74.9
ῥεῖα,51,0.02,74.91
ἄντα,51,0.02,74.93
κατατίθημι,51,0.02,74.95
ἀγαυός,51,0.02,74.96
ὀστέον,51,0.02,74.98
ἐγγύθεν,51,0.02,75.0
σαφής,51,0.02,75.01
ἀργύρεος,50,0.02,75.03
ὕβρις,50,0.02,75.05
γηθέω,50,0.02,75.06
ἔμπας,50,0.02,75.08
νῶτον,50,0.02,75.1
ἀρχή,50,0.02,75.11
ἐπεύχομαι,50,0.02,75.13
χωρέω,50,0.02,75.14
εἴκω,50,0.02,75.16
ἱστός,49,0.02,75.18
πάντῃ,49,0.02,75.19
ἐύς,49,0.02,75.21
κράς,49,0.02,75.22
αἶα,49,0.02,75.24
πήγνυμι,49,0.02,75.26
τρίτος,49,0.02,75.27
ποικίλος,49,0.02,75.29
τείρω,49,0.02,75.3
αὐλή,49,0.02,75.32
Τεῦκρος,49,0.02,75.34
ἀγγέλλω,49,0.02,75.35
οὖς,49,0.02,75.37
ἔπειμι,48,0.02,75.38
ἀράομαι,48,0.02,75.4
θαρσέω,48,0.02,75.42
φέρτατος,48,0.02,75.43
καρπάλιμος,48,0.02,75.45
βαθύς,48,0.02,75.46
ἅλιος,48,0.02,75.48
αἰσχρός,48,0.02,75.49
γελάω,48,0.02,75.51
ἀδελφός,48,0.02,75.53
πονέω,48,0.02,75.54
σταθμός,48,0.02,75.56
φωνή,48,0.02,75.57
νηλής,48,0.02,75.59
ῥύομαι,48,0.02,75.6
διώκω,48,0.02,75.62
Αἴγισθος,48,0.02,75.64
Κίρκη,48,0.02,75.65
ὥσπερ,48,0.02,75.67
ἄτιμος,47,0.02,75.68
ξανθός,47,0.02,75.7
ἕρκος,47,0.02,75.71
διογενής,47,0.02,75.73
στενάχω,47,0.02,75.74
ἰάχω,47,0.02,75.76
ὄνειρος,47,0.02,75.77
μῆτις,47,0.02,75.79
χλαῖνα,47,0.02,75.81
νεμεσάω,47,0.02,75.82
νοστέω,47,0.02,75.84
ἰδέ,47,0.02,75.85
τρεῖς,47,0.02,75.87
ἐπήν,47,0.02,75.88
ζώω,47,0.02,75.9
γαμέω,47,0.02,75.91
συμφορά,47,0.02,75.93
οὔτις,47,0.02,75.94
βλέπω,47,0.02,75.96
κήδω,46,0.02,75.97
ὄμνυμι,46,0.02,75.99
τίπτε,46,0.02,76.0
θωρήσσω,46,0.02,76.02
προσφωνέω,46,0.02,76.03
ἅπτω,46,0.02,76.05
